tag,label,algo,n_features,calibrated,score_kind,score,raw,prob,threshold,flagged,explain_method,top_features
retrained_rf_insider_meta_v5,retrained_rf_insider_meta_v5,rf,20,False,prob,0.8340082005792437,0.8340082005792437,0.8340082005792437,0.5,True,shap (TreeExplainer),herfindahl_index_markets(+0.052); unrealized_edge_per_open_token_sqrt(+0.045); time_since_first_deposit_to_first_trade_seconds(+0.041); wallet_to_market_age_ratio(+0.041); wallet_age_seconds(+0.038); median_bet_size_usdc(-0.031)
retrained_rf_insider_25ir,retrained_rf_insider_25ir,rf,20,False,prob,0.7946031584199271,0.7946031584199271,0.7946031584199271,0.5,True,shap (TreeExplainer),herfindahl_index_markets(+0.126); buy_markout_adj_grosswt_h0p030_lb0p200(-0.099); unrealized_edge_per_open_token_sqrt(+0.046); time_since_first_deposit_to_first_trade_seconds(+0.033); wallet_age_seconds(+0.033); median_bet_size_usdc(-0.031)
xgb_insider_meta_v5,xgb 10b+17m v5,xgb,27,True,prob,0.6811897241026557,0.9484948515892029,0.6811897241026557,0.15,True,shap (TreeExplainer),buy_markout_adj_grosswt_h0p030_lb0p200(-0.627); unrealized_edge_per_open_token_sqrt(+0.581); avg_bet_size_usdc(+0.474); herfindahl_index_markets(+0.377); median_bet_size_usdc(-0.349); wallet_age_seconds(+0.339)
rf_insider_meta_v5,rf 10b+10m v5 (tuned),rf,20,False,prob,0.6762404112348401,0.6762404112348401,0.6762404112348401,0.5,True,shap (TreeExplainer),unrealized_edge_per_open_token_sqrt(+0.099); herfindahl_index_markets(+0.075); wallet_to_market_age_ratio(+0.075); median_bet_size_usdc(-0.067); wallet_age_seconds(+0.039); time_since_first_deposit_to_first_trade_seconds(+0.030)
retrained_xgb_insider_meta_v5,retrained_xgb_insider_meta_v5,xgb,27,True,prob,0.6227829483957273,0.8647807836532593,0.6227829483957273,0.15,True,shap (TreeExplainer),unrealized_edge_per_open_token_sqrt(+0.610); median_bet_size_usdc(-0.552); herfindahl_index_markets(+0.399); buy_markout_adj_grosswt_h0p030_lb0p200(-0.399); wallet_age_seconds(+0.333); total_bet_size_usdc(+0.324)
rf_insider_meta_v4,rf 10b+17m v4 (axiom),rf,27,False,prob,0.6,0.6,0.6,0.5,True,shap (TreeExplainer),herfindahl_index_markets(+0.092); median_bet_size_usdc(-0.071); time_since_first_deposit_to_first_trade_seconds(+0.047); wallet_age_seconds(+0.041); buy_markout_adj_grosswt_h0p030_lb0p200(-0.037); winrate(+0.033)
xgb_insider_0ir,xgb 0ir-hidden (30f),xgb,30,True,prob,0.5804658997385618,0.904041588306427,0.5804658997385618,0.15,True,shap (TreeExplainer),median_bet_size_usdc(-1.425); herfindahl_index_markets(+0.717); unrealized_edge_per_open_token_sqrt(+0.639); winrate(-0.620); realized_pnl_per_closing_trade(+0.601); buy_markout_adj_grosswt_h0p070_lb0p150(-0.488)
rf_insider_meta_v3,rf 10b+17m v3,rf,27,False,prob,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5,True,shap (TreeExplainer),unrealized_edge_per_open_token_sqrt(+0.067); median_bet_size_usdc(-0.060); herfindahl_index_markets(+0.057); avg_bet_size_usdc(+0.052); buy_markout_adj_grosswt_h0p030_lb0p200(-0.032); wallet_age_seconds(+0.032)
retrained_xgb_insider_0ir,retrained_xgb_insider_0ir,xgb,30,True,prob,0.5533425386757094,0.8736096024513245,0.5533425386757094,0.15,True,shap (TreeExplainer),median_bet_size_usdc(-1.531); herfindahl_index_markets(+0.873); realized_pnl_per_closing_trade(+0.761); winrate(-0.647); time_since_first_deposit_to_first_trade_seconds(+0.566); unrealized_edge_per_open_token_sqrt(+0.411)
retrained_rf_insider_meta_v3,retrained_rf_insider_meta_v3,rf,27,False,prob,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.5,True,shap (TreeExplainer),unrealized_edge_per_open_token_sqrt(+0.076); herfindahl_index_markets(+0.061); buy_markout_adj_grosswt_h0p030_lb0p200(-0.045); lifetime_volume_share_on_market(+0.036); median_bet_size_usdc(-0.036); wallet_to_market_age_ratio(+0.033)
rf_insider_25ir,rf 25ir-hidden (20f),rf,20,False,prob,0.5523823163420684,0.5523823163420684,0.5523823163420684,0.5,True,shap (TreeExplainer),wallet_to_market_age_ratio(+0.100); herfindahl_index_markets(+0.062); time_since_first_deposit_to_first_trade_seconds(+0.060); wallet_age_seconds(+0.054); median_bet_size_usdc(-0.052); unrealized_edge_per_open_token_sqrt(+0.045)
retrained_rf_insider_meta_v4,retrained_rf_insider_meta_v4,rf,27,False,prob,0.5366666666666666,0.5366666666666666,0.5366666666666666,0.5,True,shap (TreeExplainer),median_bet_size_usdc(-0.105); herfindahl_index_markets(+0.081); lifetime_volume_share_on_market(+0.063); buy_markout_adj_grosswt_h0p030_lb0p200(-0.059); time_since_first_deposit_to_first_trade_seconds(+0.043); total_bet_size_usdc(+0.032)
retrained_xgb_insider_meta10_v6,retrained_xgb_insider_meta10_v6,xgb,10,True,prob,0.520234708722805,0.9107140302658081,0.520234708722805,0.15,True,shap (TreeExplainer),herfindahl_index_markets(+0.700); wallet_to_market_age_ratio(+0.583); median_bet_size_usdc(-0.575); n_markets_traded(+0.168); winrate(-0.147); time_since_first_deposit_to_first_trade_seconds(+0.128)
xgb_insider_meta10_v6,xgb meta-only v6,xgb,10,True,prob,0.49632143743842755,0.897590696811676,0.49632143743842755,0.15,True,shap (TreeExplainer),herfindahl_index_markets(+0.872); avg_bet_size_usdc(+0.499); wallet_minus_market_age_seconds(+0.449); n_markets_traded(+0.236); time_since_first_deposit_to_first_trade_seconds(+0.089); wallet_to_market_age_ratio(-0.065)
