tag,label,rank,feature,value,contribution,explain_method
retrained_rf_insider_meta_v5,retrained_rf_insider_meta_v5,1,herfindahl_index_markets,1.0,0.05245407796353665,shap (TreeExplainer)
retrained_rf_insider_meta_v5,retrained_rf_insider_meta_v5,2,unrealized_edge_per_open_token_sqrt,1.3126286617580254,0.04537932214247953,shap (TreeExplainer)
retrained_rf_insider_meta_v5,retrained_rf_insider_meta_v5,3,time_since_first_deposit_to_first_trade_seconds,88.0,0.04054402147130893,shap (TreeExplainer)
retrained_rf_insider_meta_v5,retrained_rf_insider_meta_v5,4,wallet_to_market_age_ratio,2.08865832421721e-05,0.04053827151664583,shap (TreeExplainer)
retrained_rf_insider_meta_v5,retrained_rf_insider_meta_v5,5,wallet_age_seconds,88.0,0.03782599491560506,shap (TreeExplainer)
retrained_rf_insider_meta_v5,retrained_rf_insider_meta_v5,6,median_bet_size_usdc,24.112,-0.03051431685722383,shap (TreeExplainer)
retrained_rf_insider_meta_v5,retrained_rf_insider_meta_v5,7,adaptive_markout_raw_grosswt_h0p010,0.15939508623053217,0.025551079030941705,shap (TreeExplainer)
retrained_rf_insider_meta_v5,retrained_rf_insider_meta_v5,8,wallet_minus_market_age_seconds,-4213143.0,0.02236064111874373,shap (TreeExplainer)
retrained_rf_insider_meta_v5,retrained_rf_insider_meta_v5,9,unrealized_edge_per_open_token,0.1595924515412346,0.022233456173140414,shap (TreeExplainer)
retrained_rf_insider_meta_v5,retrained_rf_insider_meta_v5,10,buy_markout_adj_grosswt_h0p030_lb0p200,-0.08373586007681719,-0.020382024668030622,shap (TreeExplainer)
retrained_rf_insider_meta_v5,retrained_rf_insider_meta_v5,11,adaptive_markout_raw_grosswt_h0p150,0.15934613610972365,0.018649981133222686,shap (TreeExplainer)
retrained_rf_insider_meta_v5,retrained_rf_insider_meta_v5,12,adaptive_markout_raw_grosswt_h0p200,0.15932166104931939,0.015659775209330925,shap (TreeExplainer)
retrained_rf_insider_25ir,retrained_rf_insider_25ir,1,herfindahl_index_markets,1.0,0.1260905275091864,shap (TreeExplainer)
retrained_rf_insider_25ir,retrained_rf_insider_25ir,2,buy_markout_adj_grosswt_h0p030_lb0p200,-0.08373586007681719,-0.09909775276032205,shap (TreeExplainer)
retrained_rf_insider_25ir,retrained_rf_insider_25ir,3,unrealized_edge_per_open_token_sqrt,1.3126286617580254,0.045666876431945405,shap (TreeExplainer)
retrained_rf_insider_25ir,retrained_rf_insider_25ir,4,time_since_first_deposit_to_first_trade_seconds,88.0,0.032955990380120856,shap (TreeExplainer)
retrained_rf_insider_25ir,retrained_rf_insider_25ir,5,wallet_age_seconds,88.0,0.03261263250226495,shap (TreeExplainer)
retrained_rf_insider_25ir,retrained_rf_insider_25ir,6,median_bet_size_usdc,24.112,-0.03083777531717193,shap (TreeExplainer)
retrained_rf_insider_25ir,retrained_rf_insider_25ir,7,n_markets_traded,1.0,0.017326313675068036,shap (TreeExplainer)
retrained_rf_insider_25ir,retrained_rf_insider_25ir,8,wallet_minus_market_age_seconds,-4213143.0,0.016140118156038497,shap (TreeExplainer)
retrained_rf_insider_25ir,retrained_rf_insider_25ir,9,wallet_to_market_age_ratio,2.08865832421721e-05,0.015587201406517596,shap (TreeExplainer)
retrained_rf_insider_25ir,retrained_rf_insider_25ir,10,unrealized_edge_per_open_token,0.1595924515412346,0.014306061365211963,shap (TreeExplainer)
retrained_rf_insider_25ir,retrained_rf_insider_25ir,11,avg_bet_size_usdc,830.803678745098,0.007693335021258822,shap (TreeExplainer)
retrained_rf_insider_25ir,retrained_rf_insider_25ir,12,adaptive_markout_raw_grosswt_h0p150,0.15934613610972365,0.005876658219041251,shap (TreeExplainer)
xgb_insider_meta_v5,xgb 10b+17m v5,1,buy_markout_adj_grosswt_h0p030_lb0p200,-0.08373586007681719,-0.6269738078117371,shap (TreeExplainer)
xgb_insider_meta_v5,xgb 10b+17m v5,2,unrealized_edge_per_open_token_sqrt,1.3126286617580254,0.581016480922699,shap (TreeExplainer)
xgb_insider_meta_v5,xgb 10b+17m v5,3,avg_bet_size_usdc,830.803678745098,0.47441366314888,shap (TreeExplainer)
xgb_insider_meta_v5,xgb 10b+17m v5,4,herfindahl_index_markets,1.0,0.3766258656978607,shap (TreeExplainer)
xgb_insider_meta_v5,xgb 10b+17m v5,5,median_bet_size_usdc,24.112,-0.34924429655075073,shap (TreeExplainer)
xgb_insider_meta_v5,xgb 10b+17m v5,6,wallet_age_seconds,88.0,0.3390377461910248,shap (TreeExplainer)
xgb_insider_meta_v5,xgb 10b+17m v5,7,realized_pnl_per_closing_trade,5185.628806436251,0.3333371877670288,shap (TreeExplainer)
xgb_insider_meta_v5,xgb 10b+17m v5,8,total_bet_size_usdc,42370.987616,0.3168041408061981,shap (TreeExplainer)
xgb_insider_meta_v5,xgb 10b+17m v5,9,wallet_to_market_age_ratio,2.08865832421721e-05,0.2570430338382721,shap (TreeExplainer)
xgb_insider_meta_v5,xgb 10b+17m v5,10,adaptive_markout_raw_grosswt_h0p070,0.15939508623053217,0.21576784551143646,shap (TreeExplainer)
xgb_insider_meta_v5,xgb 10b+17m v5,11,time_since_first_deposit_to_first_trade_seconds,88.0,0.14530305564403534,shap (TreeExplainer)
xgb_insider_meta_v5,xgb 10b+17m v5,12,unrealized_edge_per_open_token,0.1595924515412346,0.12232606112957001,shap (TreeExplainer)
rf_insider_meta_v5,rf 10b+10m v5 (tuned),1,unrealized_edge_per_open_token_sqrt,1.3126286617580254,0.09851988768079101,shap (TreeExplainer)
rf_insider_meta_v5,rf 10b+10m v5 (tuned),2,herfindahl_index_markets,1.0,0.07531957965873287,shap (TreeExplainer)
rf_insider_meta_v5,rf 10b+10m v5 (tuned),3,wallet_to_market_age_ratio,2.08865832421721e-05,0.07454425607061063,shap (TreeExplainer)
rf_insider_meta_v5,rf 10b+10m v5 (tuned),4,median_bet_size_usdc,24.112,-0.06688339000989431,shap (TreeExplainer)
rf_insider_meta_v5,rf 10b+10m v5 (tuned),5,wallet_age_seconds,88.0,0.038556553419386075,shap (TreeExplainer)
rf_insider_meta_v5,rf 10b+10m v5 (tuned),6,time_since_first_deposit_to_first_trade_seconds,88.0,0.030168783772080942,shap (TreeExplainer)
rf_insider_meta_v5,rf 10b+10m v5 (tuned),7,buy_markout_adj_grosswt_h0p030_lb0p200,-0.08373586007681719,-0.024814711807710457,shap (TreeExplainer)
rf_insider_meta_v5,rf 10b+10m v5 (tuned),8,avg_bet_size_usdc,830.803678745098,0.019682623716435716,shap (TreeExplainer)
rf_insider_meta_v5,rf 10b+10m v5 (tuned),9,unrealized_edge_per_open_token,0.1595924515412346,0.01675804447073477,shap (TreeExplainer)
rf_insider_meta_v5,rf 10b+10m v5 (tuned),10,adaptive_markout_raw_grosswt_h0p150,0.15934613610972365,0.014543128959336325,shap (TreeExplainer)
rf_insider_meta_v5,rf 10b+10m v5 (tuned),11,winrate,0.0,0.014274184634027503,shap (TreeExplainer)
rf_insider_meta_v5,rf 10b+10m v5 (tuned),12,adaptive_markout_raw_grosswt_h0p200,0.15932166104931939,0.012593106016382152,shap (TreeExplainer)
