tag,label,algo,nf,kind,pair_score,pair_raw,default_threshold,default_flag,tuned_threshold,tuned_flag,test_precision,test_recall,n_test,n_test_insiders,reached_target
xgb_insider_20feat_v2_mstr,xgb 20feat v2 (mstr),xgb,20,prob,0.802519856746311,0.8988639116287231,0.15,True,0.5570328844027443,True,0.3157894736842105,1.0,42.0,6.0,True
rf_insider_meta_v5,rf 10b+10m v5 (tuned),rf,20,prob,0.7909355228198637,0.7909355228198637,0.5,True,0.5532708599165055,True,0.7291666666666666,1.0,245.0,35.0,True
retrained_rf_insider_25ir,retrained_rf_insider_25ir,rf,20,prob,0.7583294081529532,0.7583294081529532,0.5,True,0.6299768381222416,True,0.8048780487804879,0.9705882352941176,235.0,34.0,True
xgb_insider_20feat_v2_stable,xgb 20feat v2 (stable),xgb,20,prob,0.6711854634717593,0.7755739688873291,0.15,True,0.037590307434858555,True,0.2857142857142857,1.0,20.0,4.0,True
rf_insider_25ir,rf 25ir-hidden (20f),rf,20,prob,0.6542977730330669,0.6542977730330669,0.5,True,0.34568361783841645,True,0.673469387755102,0.9705882352941176,235.0,34.0,True
xgb_insider_meta_v7,xgb 20b+10m v7,xgb,30,prob,0.6126312816068912,0.8967275023460388,0.15,True,0.11781555554792594,True,0.7727272727272727,0.9714285714285714,245.0,35.0,True
rf_insider_0ir,rf 0ir-hidden (20f),rf,20,prob,0.6043174603174603,0.6043174603174603,0.5,True,0.10619841269841271,True,0.3191489361702128,1.0,105.0,15.0,True
xgb_insider_25ir,xgb 25ir-hidden (30f),xgb,30,prob,0.5775233058534777,0.8696317672729492,0.15,True,0.5190074686554444,True,0.8461538461538461,0.9705882352941176,235.0,34.0,True
xgb_insider_0ir,xgb 0ir-hidden (30f),xgb,30,prob,0.5631647204345446,0.884642481803894,0.15,True,0.05176425245510126,True,0.26785714285714285,1.0,105.0,15.0,True
retrained_rf_insider_0ir,retrained_rf_insider_0ir,rf,20,prob,0.5273572527014795,0.5273572527014795,0.5,True,0.12686061022701517,True,0.3409090909090909,1.0,105.0,15.0,True
xgb_insider_20feat_v2_axiom,xgb 20feat v2 (axiom),xgb,20,prob,0.49869457886376706,0.6652456521987915,0.15,True,0.10254612152144237,True,0.3684210526315789,1.0,49.0,7.0,True
xgb_insider_meta_v5,xgb 10b+17m v5,xgb,27,prob,0.4906850025826612,0.7771470546722412,0.15,True,0.4641391656444557,True,0.7555555555555555,0.9714285714285714,245.0,35.0,True
retrained_xgb_insider_0ir,retrained_xgb_insider_0ir,xgb,30,prob,0.48988712706379856,0.8075644969940186,0.15,True,0.057062343437807715,True,0.3333333333333333,1.0,105.0,15.0,True
xgb_insider_meta10_v6,xgb meta-only v6,xgb,10,prob,0.4824582095995825,0.8826490044593811,0.15,True,0.07371700674670265,True,0.5483870967741935,0.9714285714285714,245.0,35.0,True
rf_insider_meta_v4,rf 10b+17m v4 (axiom),rf,27,prob,0.45666666666666667,0.45666666666666667,0.5,False,0.25333333333333335,True,0.4375,1.0,49.0,7.0,True
retrained_rf_insider_meta_v4,retrained_rf_insider_meta_v4,rf,27,prob,0.43,0.43,0.5,False,0.20333333333333334,True,0.35,1.0,49.0,7.0,True
retrained_xgb_insider_25ir,retrained_xgb_insider_25ir,xgb,30,prob,0.4244879530834752,0.7689624428749084,0.15,True,0.42393381555246984,True,0.825,0.9705882352941176,235.0,34.0,True
