tag,label,algo,nf,kind,pair_score,pair_raw,default_threshold,default_flag,tuned_threshold,tuned_flag,test_precision,test_recall,n_test,n_test_insiders,reached_target
rf_insider_meta_v4,rf 10b+17m v4 (axiom),rf,27,prob,0.49333333333333335,0.49333333333333335,0.5,False,0.25333333333333335,True,0.4375,1.0,49.0,7.0,True
xgb_insider_meta10_v6,xgb meta-only v6,xgb,10,prob,0.48455202787221335,0.8849070072174072,0.15,True,0.07371700674670265,True,0.5483870967741935,0.9714285714285714,245.0,35.0,True
retrained_rf_insider_meta_v4,retrained_rf_insider_meta_v4,rf,27,prob,0.47333333333333333,0.47333333333333333,0.5,False,0.20333333333333334,True,0.35,1.0,49.0,7.0,True
retrained_xgb_insider_meta10_v6,retrained_xgb_insider_meta10_v6,xgb,10,prob,0.43416758182756005,0.8063079714775085,0.15,True,0.060269289036559266,True,0.5230769230769231,0.9714285714285714,245.0,35.0,True
xgb_insider_20feat_v2_axiom,xgb 20feat v2 (axiom),xgb,20,prob,0.41946124852363753,0.5920132994651794,0.15,True,0.10254612152144237,True,0.3684210526315789,1.0,49.0,7.0,True
xgb_insider_meta_v7,xgb 20b+10m v7,xgb,30,prob,0.402711563795528,0.7139596343040466,0.15,True,0.11781555554792594,True,0.7727272727272727,0.9714285714285714,245.0,35.0,True
retrained_rf_insider_0ir,retrained_rf_insider_0ir,rf,20,prob,0.391790047067692,0.391790047067692,0.5,False,0.12686061022701517,True,0.3409090909090909,1.0,105.0,15.0,True
rf_insider_0ir,rf 0ir-hidden (20f),rf,20,prob,0.3858333333333332,0.3858333333333332,0.5,False,0.10619841269841271,True,0.3191489361702128,1.0,105.0,15.0,True
xgb_insider_20feat_v2_stable,xgb 20feat v2 (stable),xgb,20,prob,0.3167323141621471,0.5210115313529968,0.15,True,0.037590307434858555,True,0.2857142857142857,1.0,20.0,4.0,True
retrained_xgb_insider_0ir,retrained_xgb_insider_0ir,xgb,30,prob,0.24912373743533914,0.5319032669067383,0.15,True,0.057062343437807715,True,0.3333333333333333,1.0,105.0,15.0,True
xgb_insider_0ir,xgb 0ir-hidden (30f),xgb,30,prob,0.171121111672917,0.3818327486515045,0.15,True,0.05176425245510126,True,0.26785714285714285,1.0,105.0,15.0,True
xgb_insider_20feat_v2,xgb 20feat v2,xgb,20,prob,0.16910441255311023,0.4151807725429535,0.15,True,0.14899093724267234,True,0.9459459459459459,1.0,245.0,35.0,True
lr_insider_30feat,logreg 30feat,lr,30,prob,0.8003268488266034,0.8003268488266034,0.5,True,,,,,,,
lgbm_insider_30feat,lgbm 30feat,lgbm,30,prob,0.614295008081211,0.614295008081211,0.5,True,,,,,,,
xgb_insider_50feat,xgb 50feat,xgb,50,prob,0.4329015016555786,0.4329015016555786,0.5,False,,,,,,,
rf_insider_meta_v5,rf 10b+10m v5 (tuned),rf,20,prob,0.36982140534248453,0.36982140534248453,0.5,False,0.5532708599165055,False,0.7291666666666666,1.0,245.0,35.0,True
xgb_insider_20feat_v2_mstr,xgb 20feat v2 (mstr),xgb,20,prob,0.3678747098734545,0.5468720197677612,0.15,True,0.5570328844027443,False,0.3157894736842105,1.0,42.0,6.0,True
retrained_rf_insider_meta_v5,retrained_rf_insider_meta_v5,rf,20,prob,0.31873922267895416,0.31873922267895416,0.5,False,0.8050314901084862,False,0.7906976744186046,0.9714285714285714,245.0,35.0,True
xgb_insider_meta_v5,xgb 10b+17m v5,xgb,27,prob,0.3074039697260547,0.6104220747947693,0.15,True,0.4641391656444557,False,0.7555555555555555,0.9714285714285714,245.0,35.0,True
rf_insider_meta_v3,rf 10b+17m v3,rf,27,prob,0.2833333333333333,0.2833333333333333,0.5,False,0.5066666666666667,False,0.7777777777777778,1.0,245.0,35.0,True
retrained_rf_insider_25ir,retrained_rf_insider_25ir,rf,20,prob,0.2777208853773011,0.2777208853773011,0.5,False,0.6299768381222416,False,0.8048780487804879,0.9705882352941176,235.0,34.0,True
rf_insider_25ir,rf 25ir-hidden (20f),rf,20,prob,0.2768394636122965,0.2768394636122965,0.5,False,0.3456836178384165,False,0.673469387755102,0.9705882352941176,235.0,34.0,True
xgb_insider_25ir,xgb 25ir-hidden (30f),xgb,30,prob,0.26753430801784966,0.5610865950584412,0.15,True,0.5190074686554444,False,0.8461538461538461,0.9705882352941176,235.0,34.0,True
retrained_xgb_insider_meta_v7,retrained_xgb_insider_meta_v7,xgb,30,prob,0.24950490004536915,0.5581768155097961,0.15,True,0.26391361326968754,False,0.7555555555555555,0.9714285714285714,245.0,35.0,True
retrained_rf_insider_meta_v3,retrained_rf_insider_meta_v3,rf,27,prob,0.24666666666666667,0.24666666666666667,0.5,False,0.6233333333333333,False,0.918918918918919,0.9714285714285714,245.0,35.0,True
cb_insider_30feat_v2,cb 30feat v2,cb,30,prob,0.21365021670315354,0.3765914838855142,0.3,False,0.28333321169437814,False,0.875,1.0,245.0,35.0,True
xgb_insider_30feat_v2,xgb 30feat v2,xgb,30,prob,0.20086814887360754,0.5037853717803955,0.5,False,0.24539893559299636,False,0.875,1.0,245.0,35.0,True
cb_insider_10feat_v2_d2,cb 10feat v2 (d2),cb,10,prob,0.1448024835427063,0.16961664763045903,0.3,False,0.3556999036200825,False,0.9459459459459459,1.0,245.0,35.0,True
cb_insider_10feat_v2,cb 10feat v2,cb,10,prob,0.1438472481419706,0.18128306444993478,0.3,False,0.30894741323234476,False,0.9210526315789473,1.0,245.0,35.0,True
xgb_insider_10feat_v2,xgb 10feat v2,xgb,10,prob,0.12025932220588932,0.2580280303955078,0.5,False,0.6433743964361582,False,0.9459459459459459,1.0,245.0,35.0,True
retrained_xgb_insider_25ir,retrained_xgb_insider_25ir,xgb,30,prob,0.08205090911272041,0.2794766426086426,0.15,False,0.42393381555246984,False,0.825,0.9705882352941176,235.0,34.0,True
retrained_xgb_insider_meta_v5,retrained_xgb_insider_meta_v5,xgb,27,prob,0.0809150566682097,0.24120302498340607,0.15,False,0.3535444096407323,False,0.8333333333333334,1.0,245.0,35.0,True
iso_insider_30feat,isoforest 30feat,iso,30,neg_anomaly,0.020281235949927756,-0.020281235949927756,,True,,,,,,,
rf_insider_10feat_v2,rf 10feat v2,rf,10,prob,0.014285714285714285,0.014285714285714285,0.5,False,0.6866666666666666,False,0.8947368421052632,0.9714285714285714,245.0,35.0,True
xgb_insider_14feat,xgb 14feat,xgb,14,prob,0.005342977121472359,0.005342977121472359,0.5,False,,,,,,,
