tag,label,algo,nf,kind,pair_score,pair_raw,default_threshold,default_flag,tuned_threshold,tuned_flag,test_precision,test_recall,n_test,n_test_insiders,reached_target
xgb_insider_20feat_v2_mstr,xgb 20feat v2 (mstr),xgb,20,prob,0.7149773349240572,0.811487078666687,0.15,True,0.5570328844027443,True,0.3157894736842105,1.0,42.0,6.0,True
xgb_insider_20feat_v2_axiom,xgb 20feat v2 (axiom),xgb,20,prob,0.706085809478978,0.8671660423278809,0.15,True,0.10254612152144237,True,0.3684210526315789,1.0,49.0,7.0,True
retrained_rf_insider_25ir,retrained_rf_insider_25ir,rf,20,prob,0.669494768706639,0.669494768706639,0.5,True,0.6299768381222416,True,0.8048780487804879,0.9705882352941176,235.0,34.0,True
xgb_insider_20feat_v2_stable,xgb 20feat v2 (stable),xgb,20,prob,0.5585150214362614,0.6934181451797485,0.15,True,0.037590307434858555,True,0.2857142857142857,1.0,20.0,4.0,True
xgb_insider_30feat_v2,xgb 30feat v2,xgb,30,prob,0.46410007973553025,0.7786120772361755,0.5,False,0.24539893559299636,True,0.875,1.0,245.0,35.0,True
retrained_rf_insider_meta_v4,retrained_rf_insider_meta_v4,rf,27,prob,0.3933333333333333,0.3933333333333333,0.5,False,0.20333333333333334,True,0.35,1.0,49.0,7.0,True
xgb_insider_20feat_v2,xgb 20feat v2,xgb,20,prob,0.39057985102678233,0.6635873317718506,0.15,True,0.14899093724267234,True,0.9459459459459459,1.0,245.0,35.0,True
rf_insider_meta_v4,rf 10b+17m v4 (axiom),rf,27,prob,0.38666666666666666,0.38666666666666666,0.5,False,0.25333333333333335,True,0.4375,1.0,49.0,7.0,True
retrained_rf_insider_0ir,retrained_rf_insider_0ir,rf,20,prob,0.2752813750369969,0.2752813750369969,0.5,False,0.12686061022701517,True,0.3409090909090909,1.0,105.0,15.0,True
rf_insider_0ir,rf 0ir-hidden (20f),rf,20,prob,0.2306825396825397,0.2306825396825397,0.5,False,0.10619841269841271,True,0.3191489361702128,1.0,105.0,15.0,True
xgb_insider_meta_v7,xgb 20b+10m v7,xgb,30,prob,0.1663873100121915,0.4530084729194641,0.15,True,0.11781555554792594,True,0.7727272727272727,0.9714285714285714,245.0,35.0,True
xgb_insider_0ir,xgb 0ir-hidden (30f),xgb,30,prob,0.0867352557024431,0.16869240999221802,0.15,False,0.05176425245510126,True,0.26785714285714285,1.0,105.0,15.0,True
retrained_xgb_insider_0ir,retrained_xgb_insider_0ir,xgb,30,prob,0.08119450896797785,0.1887809932231903,0.15,False,0.057062343437807715,True,0.3333333333333333,1.0,105.0,15.0,True
xgb_insider_meta10_v6,xgb meta-only v6,xgb,10,prob,0.07981644877790764,0.24313345551490784,0.15,False,0.07371700674670265,True,0.5483870967741935,0.9714285714285714,245.0,35.0,True
retrained_xgb_insider_meta10_v6,retrained_xgb_insider_meta10_v6,xgb,10,prob,0.06977245397726463,0.10433466732501984,0.15,False,0.060269289036559266,True,0.5230769230769231,0.9714285714285714,245.0,35.0,True
lgbm_insider_30feat,lgbm 30feat,lgbm,30,prob,0.7971533842490576,0.7971533842490576,0.5,True,,,,,,,
lr_insider_30feat,logreg 30feat,lr,30,prob,0.5702708506889045,0.5702708506889045,0.5,True,,,,,,,
xgb_insider_50feat,xgb 50feat,xgb,50,prob,0.49546706676483154,0.49546706676483154,0.5,False,,,,,,,
retrained_rf_insider_meta_v5,retrained_rf_insider_meta_v5,rf,20,prob,0.4873768816749028,0.4873768816749028,0.5,False,0.8050314901084862,False,0.7906976744186046,0.9714285714285714,245.0,35.0,True
xgb_insider_10feat_v2,xgb 10feat v2,xgb,10,prob,0.4304137952291475,0.6563435792922974,0.5,False,0.6433743964361582,False,0.9459459459459459,1.0,245.0,35.0,True
rf_insider_10feat_v2,rf 10feat v2,rf,10,prob,0.41333333333333333,0.41333333333333333,0.5,False,0.6866666666666666,False,0.8947368421052632,0.9714285714285714,245.0,35.0,True
retrained_rf_insider_meta_v3,retrained_rf_insider_meta_v3,rf,27,prob,0.37666666666666665,0.37666666666666665,0.5,False,0.6233333333333333,False,0.918918918918919,0.9714285714285714,245.0,35.0,True
xgb_insider_14feat,xgb 14feat,xgb,14,prob,0.34965452551841736,0.34965452551841736,0.5,False,,,,,,,
rf_insider_meta_v5,rf 10b+10m v5 (tuned),rf,20,prob,0.2805377478364821,0.2805377478364821,0.5,False,0.5532708599165056,False,0.7291666666666666,1.0,245.0,35.0,True
cb_insider_30feat_v2,cb 30feat v2,cb,30,prob,0.27224341768702354,0.5252989515559748,0.3,False,0.28333321169437814,False,0.875,1.0,245.0,35.0,True
