[metadata_layer] WARNING: ETHERSCAN_API_KEY not set; wallet_age / funder / sibling features will be NaN.
[metadata_layer] 793 (wallet, market) pairs to score
[metadata_layer] 68 flagged wallets loaded
[metadata_layer] 1/793 (0x3e5458…, khamenei-out-as-supreme-leader-o) elapsed=4.1s
[metadata_layer] 2/793 (0x4c2da4…, khamenei-out-as-supreme-leader-o) elapsed=6.2s
[metadata_layer] 3/793 (0x019761…, khamenei-out-as-supreme-leader-o) elapsed=7.9s
[metadata_layer] 4/793 (0x9690d9…, khamenei-out-as-supreme-leader-o) elapsed=10.3s
[metadata_layer] 5/793 (0x9e5c74…, khamenei-out-as-supreme-leader-o) elapsed=12.2s
[metadata_layer] 6/793 (0xe59843…, khamenei-out-as-supreme-leader-o) elapsed=14.4s
[metadata_layer] 7/793 (0x0793ab…, khamenei-out-as-supreme-leader-o) elapsed=14.4s
[metadata_layer] 8/793 (0x7a146c…, microstrategy-announces-1000-btc) elapsed=17.1s
[metadata_layer] 9/793 (0xa0c37c…, microstrategy-announces-1000-btc) elapsed=19.2s
[metadata_layer] 10/793 (0xc1b399…, microstrategy-announces-1000-btc) elapsed=21.1s
[metadata_layer] 11/793 (0x551e72…, microstrategy-announces-1000-btc) elapsed=23.3s
[metadata_layer] 12/793 (0xe287a1…, microstrategy-announces-1000-btc) elapsed=23.3s
[metadata_layer] 13/793 (0x6ffb43…, microstrategy-announces-1000-btc) elapsed=24.7s
[metadata_layer] 14/793 (0xdadf44…, microstrategy-announces-1000-btc) elapsed=26.4s
[metadata_layer] 15/793 (0xff76dd…, microstrategy-announces-1000-btc) elapsed=27.0s
[metadata_layer] 16/793 (0xd18966…, microstrategy-announces-1000-btc) elapsed=28.7s
[metadata_layer] 17/793 (0x0d1436…, microstrategy-announces-1000-btc) elapsed=30.7s
[metadata_layer] 18/793 (0xa588aa…, microstrategy-announces-1000-btc) elapsed=31.6s
[metadata_layer] 19/793 (0xb1a279…, microstrategy-announces-1000-btc) elapsed=33.1s
[metadata_layer] 20/793 (0xc781e8…, microstrategy-announces-1000-btc) elapsed=35.0s
[metadata_layer] 21/793 (0x1a475c…, microstrategy-announces-1000-btc) elapsed=36.6s
[metadata_layer] 22/793 (0xb2a3bf…, microstrategy-announces-1000-btc) elapsed=38.6s
[metadata_layer] 23/793 (0x91527e…, microstrategy-announces-1000-btc) elapsed=38.9s
[metadata_layer] 24/793 (0xd6f105…, microstrategy-announces-1000-btc) elapsed=40.0s
[metadata_layer] 25/793 (0x1e1f17…, microstrategy-announces-1000-btc) elapsed=41.7s
