[metadata_layer] 793 (wallet, market) pairs to score
[metadata_layer] 68 flagged wallets loaded
[metadata_layer] 1/793 (0x3e5458…, khamenei-out-as-supreme-leader-o) elapsed=2.4s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 2/793 (0x4c2da4…, khamenei-out-as-supreme-leader-o) elapsed=2.8s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 3/793 (0x019761…, khamenei-out-as-supreme-leader-o) elapsed=3.0s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 4/793 (0x9690d9…, khamenei-out-as-supreme-leader-o) elapsed=3.2s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 5/793 (0x9e5c74…, khamenei-out-as-supreme-leader-o) elapsed=3.4s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 6/793 (0xe59843…, khamenei-out-as-supreme-leader-o) elapsed=3.6s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 7/793 (0x0793ab…, khamenei-out-as-supreme-leader-o) elapsed=3.8s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 8/793 (0x7a146c…, microstrategy-announces-1000-btc) elapsed=4.6s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 9/793 (0xa0c37c…, microstrategy-announces-1000-btc) elapsed=4.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 10/793 (0xc1b399…, microstrategy-announces-1000-btc) elapsed=5.0s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 11/793 (0x551e72…, microstrategy-announces-1000-btc) elapsed=5.2s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 12/793 (0xe287a1…, microstrategy-announces-1000-btc) elapsed=5.3s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 13/793 (0x6ffb43…, microstrategy-announces-1000-btc) elapsed=5.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 14/793 (0xdadf44…, microstrategy-announces-1000-btc) elapsed=5.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 15/793 (0xff76dd…, microstrategy-announces-1000-btc) elapsed=5.9s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 16/793 (0xd18966…, microstrategy-announces-1000-btc) elapsed=6.1s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 17/793 (0x0d1436…, microstrategy-announces-1000-btc) elapsed=6.3s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 18/793 (0xa588aa…, microstrategy-announces-1000-btc) elapsed=6.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
